phrase,code,note
hypertension,I10,"bare ""hypertension"" means essential hypertension unless pregnancy is stated"
high blood pressure,I10,
raised blood pressure,I10,
diabetes,E11.9,default to type 2 when the type is not written; review if the patient is young
diabetes mellitus,E11.9,
diabetic nephropathy,E11.21,attach to the diabetes type actually coded
diabetic neuropathy,E11.40,
diabetic retinopathy,E11.31,
gestational diabetes,O24.49,
dehydration,E86,ICD-10-AM words this as volume depletion
gastroenteritis,A09.9,
acute gastroenteritis,A09.9,
sore throat,J02.9,
throat pain,J02.9,
tonsillitis,J03.9,
pneumonia,J18.9,
community acquired pneumonia,J18.9,
chest infection,J22,
uti,N39.0,
urinary tract infection,N39.0,
copd,J44.9,
asthma,J45.9,
heart failure,I50.9,
congestive heart failure,I50.0,
atrial fibrillation,I48.9,
myocardial infarction,I21.9,
angina,I20.9,
stroke,I64,
tia,G45.9,
epilepsy,G40.90,
migraine,G43.9,
anaemia,D64.9,
iron deficiency anaemia,D50.9,
hypothyroidism,E03.9,
hyperthyroidism,E05.9,
obesity,E66.90,
hyperlipidaemia,E78.5,
dyslipidaemia,E78.5,
chronic kidney disease,N18.9,
acute kidney injury,N17.9,
depression,F32.90,
anxiety,F41.9,
osteoarthritis,M19.99,
low back pain,M54.5,
cellulitis,L03.9,
sepsis,A41.9,
appendicitis,K35.8,
cholecystitis,K81.9,
pancreatitis,K85.9,
peptic ulcer,K27.9,
gord,K21.9,
constipation,K59.0,
otitis media,H66.9,
conjunctivitis,H10.9,
allergic rhinitis,J30.4,
